Metodo,Acuracia
GaussianNB,0.7300000000000001
BernoulliNB,0.71
KNeighborsClassifier(2),0.6614285714285714
KNeighborsClassifier(3),0.6142857142857142
KNeighborsClassifier(5),0.6500000000000001
KNeighborsClassifier(8),0.6857142857142857
DecisionTreeClassifier(),0.6642857142857143
RandomForestClassifier(3_estimators),0.6957142857142857
RandomForestClassifier(5_estimators),0.7414285714285714
RandomForestClassifier,0.7614285714285713
SVM,0.7057142857142857
MLPClassifier,0.6885714285714285
rand1,0.5233333333333333
rand2,0.5133333333333333
rand3,0.5066666666666667
majoritario,0.7
minoritario,0.3
pessimo,0.0
otimo,1.0
