,Discriminacao,Dificuldade,Adivinhacao
V1,3.468,-2.102,0.019
V2,1.935,-1.61,0.009
V3,0.114,-3.961,0.012
V4,2.531,-2.263,0.019
V5,2.978,-1.738,0.021
V6,6.125,-1.967,0.006
V7,6.126,-1.967,0.006
V8,3.197,-2.363,0.021
V9,1.575,-1.391,0.013
V10,1.638,5.877,0.502
V11,3.182,-0.087,0.65
V12,-1.023,-0.819,0.0
V13,3.299,-2.113,0.019
V14,1.445,-0.338,0.392
V15,0.206,-1.708,0.186
V16,1.637,-0.121,0.522
V17,1.928,-2.286,0.031
V18,2.398,0.059,0.481
V19,6.127,-1.967,0.006
V20,2.088,-2.053,0.048
V21,0.125,0.046,0.037
V22,4.871,-1.836,0.018
V23,5.08,-2.188,0.009
V24,4.43,-1.846,0.022
V25,-1.296,-2.536,0.001
V26,1.419,-1.991,0.031
V27,0.849,-2.765,0.042
V28,2.562,-1.592,0.033
V29,3.706,-2.078,0.018
V30,-1.575,-1.804,0.0
V31,8.322,-1.752,0.003
V32,0.572,1.438,0.297
V33,-2.048,-2.255,0.0
V34,7.372,-1.964,0.015
V35,0.783,-2.128,0.026
V36,7.499,0.42,0.621
V37,5.074,-2.188,0.01
V38,5.264,-1.833,0.016
V39,5.075,-2.188,0.01
V40,8.327,-1.752,0.003
V41,-0.2,0.342,0.052
V42,-0.761,-1.92,0.003
V43,5.076,-2.188,0.01
V44,-0.74,-1.956,0.043
V45,5.085,-2.188,0.009
V46,0.276,-2.902,0.037
V47,3.377,-2.106,0.019
V48,6.135,-1.966,0.006
V49,-0.588,-2.618,0.038
V50,0.927,-1.158,0.425
V51,-0.774,-2.312,0.018
V52,15.331,-0.08,0.483
V53,-3.067,-1.998,0.0
V54,1.932,-2.283,0.03
V55,13.68,-0.122,0.613
V56,0.805,-0.405,0.278
V57,-1.708,-1.557,0.0
V58,2.064,-2.419,0.027
V59,-1.059,-1.091,0.0
V60,-1.865,-2.055,0.0
V61,-1.837,-1.96,0.001
V62,-1.259,-1.641,0.0
V63,4.018,-0.191,0.58
V64,5.079,-2.188,0.01
V65,-2.067,-2.096,0.0
V66,5.08,-2.188,0.01
V67,1.59,-1.532,0.011
V68,-2.199,-2.616,0.0
V69,1.223,-2.078,0.033
V70,-0.329,-2.077,0.093
V71,1.112,-2.223,0.036
V72,1.075,-2.298,0.024
V73,2.443,-1.954,0.033
V74,6.55,-2.153,0.015
V75,0.634,-0.696,0.297
V76,8.337,-1.752,0.003
V77,7.372,-1.964,0.015
V78,4.304,-1.613,0.007
V79,-2.122,-1.942,0.0
V80,3.245,-1.574,0.064
V81,2.977,-1.737,0.019
V82,1.843,-1.807,0.035
V83,-1.34,-1.99,0.0
V84,3.197,-2.363,0.021
V85,0.617,-2.499,0.062
V86,-3.067,-1.998,0.0
V87,1.1,-1.655,0.011
V88,4.569,-1.844,0.025
V89,3.887,-1.553,0.006
V90,-1.378,-1.282,0.0
V91,8.338,-1.752,0.003
V92,1.303,-1.892,0.032
V93,3.038,-1.829,0.044
V94,17.216,-0.303,0.709
V95,-2.519,-2.281,0.0
V96,1.629,-1.83,0.032
V97,6.165,-1.449,0.149
V98,4.705,-1.674,0.065
V99,5.091,-2.187,0.009
V100,0.944,-2.201,0.044
V101,3.388,4.166,0.394
V102,8.342,-1.752,0.003
V103,0.303,-2.044,0.001
V104,-2.518,-2.281,0.0
V105,-0.005,36.508,0.118
V106,4.911,-1.656,0.075
V107,8.343,-1.752,0.003
V108,2.443,-2.106,0.022
V109,-2.199,-2.615,0.0
V110,7.372,-1.964,0.015
V111,8.345,-1.752,0.003
V112,3.064,-1.99,0.014
V113,-0.638,-2.471,0.299
V114,1.411,-2.01,0.02
V115,5.323,-1.83,0.016
V116,3.109,-1.98,0.014
V117,8.347,-1.752,0.003
V118,1.823,-1.741,0.015
V119,5.095,-2.187,0.009
V120,-1.057,-1.882,0.0
V121,3.491,-1.379,0.213
V122,2.951,-1.865,0.017
V123,2.85,-2.168,0.018
V124,5.088,-2.188,0.01
V125,4.68,-1.842,0.019
V126,0.912,-1.492,0.024
V127,1.099,-1.792,0.034
V128,2.539,-2.26,0.02
V129,2.002,-0.061,0.497
V130,1.778,-2.381,0.023
V131,1.271,-1.781,0.011
V132,-1.401,-1.673,0.0
V133,3.408,-2.106,0.02
V134,12.006,-0.1,0.484
V135,-0.802,-2.4,0.001
V136,0.826,-2.709,0.039
V137,1.68,-1.91,0.017
V138,3.007,-1.855,0.017
V139,1.622,-1.756,0.018
V140,4.569,-1.845,0.025
V141,15.394,-0.252,0.678
V142,4.431,-1.846,0.022
V143,10.09,1.481,0.384
V144,-0.677,-2.181,0.168
V145,0.612,-0.216,0.007
V146,-1.581,-1.998,0.0
V147,14.384,-0.29,0.582
V148,2.943,-1.868,0.015
V149,4.795,-1.35,0.005
V150,4.522,-1.816,0.076
V151,2.535,-2.263,0.019
V152,5.097,-2.187,0.009
V153,0.822,-1.435,0.064
V154,3.22,-2.117,0.018
V155,1.863,0.132,0.507
V156,7.372,-1.964,0.015
V157,3.043,-2.387,0.021
V158,5.098,-2.187,0.009
V159,1.76,-2.582,0.029
V160,-1.564,-1.487,0.0
V161,8.355,-1.752,0.003
V162,-0.487,-1.593,0.004
V163,-1.803,-1.858,0.0
V164,6.55,-2.153,0.015
V165,2.409,-1.977,0.014
V166,5.1,-2.187,0.009
V167,0.064,4.433,0.131
V168,8.358,-1.752,0.002
V169,1.576,-1.879,0.017
V170,2.964,-1.097,0.297
V171,6.549,-2.153,0.015
V172,8.36,-1.752,0.002
V173,11.433,-0.372,0.51
V174,1.412,-2.677,0.033
V175,1.406,0.693,0.569
V176,4.526,-1.697,0.038
V177,-2.012,-2.271,0.0
V178,3.101,-1.975,0.026
V179,1.68,-2.138,0.026
V180,-1.584,-1.992,0.0
V181,2.9,-2.403,0.02
V182,6.549,-2.153,0.015
V183,-0.712,-2.669,0.047
V184,6.153,-1.966,0.006
V185,5.095,-2.187,0.01
V186,4.95,-2.503,0.014
V187,3.062,-1.833,0.041
V188,-0.389,-2.577,0.017
V189,2.974,-1.748,0.006
V190,1.27,-0.936,0.28
V191,2.962,-1.744,0.016
V192,23.665,-0.337,0.612
V193,6.157,-1.966,0.006
V194,16.94,-0.362,0.677
V195,-2.199,-2.615,0.0
V196,5.098,-2.187,0.01
V197,-2.199,-2.616,0.0
V198,-1.855,-1.419,0.0
V199,4.613,3.869,0.438
V200,1.5,-1.187,0.012
V201,-0.593,-2.336,0.001
V202,1.78,0.562,0.309
V203,-0.417,-1.652,0.011
V204,6.159,-1.966,0.006
V205,7.372,-1.964,0.015
V206,0.227,-1.933,0.011
V207,4.953,-2.503,0.014
V208,6.161,-1.966,0.006
V209,2.058,-2.068,0.039
V210,-0.541,-1.633,0.001
V211,1.601,-1.946,0.037
V212,2.695,-2.034,0.022
V213,-1.072,-1.942,0.0
V214,1.849,-1.726,0.017
V215,7.333,2.016,0.5
V216,6.549,-2.153,0.015
V217,7.577,-0.476,0.682
V218,15.649,-0.364,0.579
V219,5.148,-1.826,0.019
V220,0.648,-1.832,0.068
V221,6.162,-1.966,0.006
V222,6.163,-1.966,0.006
V223,0.16,-2.457,0.003
V224,0.812,-1.941,0.04
V225,-1.309,-1.677,0.0
V226,8.379,-1.751,0.002
V227,-0.406,-2.583,0.041
V228,13.667,-0.315,0.549
V229,-1.079,-3.073,0.286
V230,1.086,-1.872,0.038
V231,0.784,-2.126,0.083
V232,-2.261,-1.297,0.0
V233,2.513,-1.399,0.238
V234,2.952,-1.864,0.015
V235,5.113,-2.186,0.009
V236,2.012,-1.49,0.022
V237,6.549,-2.153,0.015
V238,-1.037,-2.786,0.0
V239,6.549,-2.153,0.015
V240,2.16,-1.904,0.042
V241,-0.981,-2.766,0.0
V242,1.717,-2.114,0.029
V243,-0.542,-3.648,0.009
V244,4.704,-1.671,0.076
V245,1.469,-1.937,0.042
V246,-2.519,-2.281,0.0
V247,1.472,-2.168,0.027
V248,5.114,-2.186,0.009
V249,6.167,-1.966,0.006
V250,-1.213,-2.139,0.001
V251,12.715,0.595,0.609
V252,-0.951,-1.536,0.0
V253,1.734,-1.781,0.018
V254,2.9,-2.403,0.02
V255,15.079,-0.069,0.548
V256,3.315,-1.798,0.021
V257,-1.706,-2.145,0.0
V258,3.846,-2.069,0.019
V259,4.122,-1.538,0.008
V260,-1.752,-2.604,0.0
V261,4.961,-2.503,0.013
V262,-0.668,-2.371,0.111
V263,1.531,-1.9,0.029
