Metodo,Acuracia
GaussianNB,0.8309941520467836
BernoulliNB,0.7839181286549708
KNeighborsClassifier(2),0.6242690058479532
KNeighborsClassifier(3),0.6444444444444445
KNeighborsClassifier(5),0.6710526315789473
KNeighborsClassifier(8),0.65
DecisionTreeClassifier(),0.7081871345029238
RandomForestClassifier(3_estimators),0.7345029239766082
RandomForestClassifier(5_estimators),0.7666666666666667
RandomForestClassifier,0.8149122807017545
SVM,0.6134502923976608
MLPClassifier,0.6763157894736842
rand1,0.4567901234567901
rand2,0.5185185185185185
rand3,0.5308641975308642
majoritario,0.5555555555555556
minoritario,0.4444444444444444
pessimo,0.0
otimo,1.0
