Metodo,Acuracia
GaussianNB,0.8518518518518519
BernoulliNB,0.7654320987654321
KNeighborsClassifier(2),0.7160493827160493
KNeighborsClassifier(3),0.6790123456790124
KNeighborsClassifier(5),0.691358024691358
KNeighborsClassifier(8),0.691358024691358
DecisionTreeClassifier(),0.7654320987654321
RandomForestClassifier(3_estimators),0.8271604938271605
RandomForestClassifier(5_estimators),0.7901234567901234
RandomForestClassifier,0.8395061728395061
SVM,0.691358024691358
MLPClassifier,0.7160493827160493
rand1,0.4567901234567901
rand2,0.5185185185185185
rand3,0.5308641975308642
majoritario,0.5555555555555556
minoritario,0.4444444444444444
pessimo,0.0
otimo,1.0
