,Discriminacao,Dificuldade,Adivinhacao
V1,22.52,-1.325,0.335
V2,5.737,-1.088,0.517
V3,-1.742,-8.478,0.727
V4,-1.881,-2.78,0.0
V5,16.549,-1.419,0.167
V6,-0.159,-28.449,0.637
V7,19.666,-2.029,0.0
V8,2.183,-2.072,0.001
V9,0.172,0.897,0.0
V10,3.902,-2.095,0.0
V11,20.143,-2.028,0.0
V12,1.859,-0.789,0.36
V13,2.153,-1.682,0.01
V14,19.952,-2.03,0.0
V15,32.651,-1.059,0.422
V16,19.409,-2.029,0.0
V17,21.034,-0.745,0.526
V18,33.207,1.091,0.541
V19,1.301,-2.361,0.003
V20,4.606,-1.328,0.138
V21,2.787,-2.246,0.0
V22,17.849,-2.072,0.0
V23,23.046,-1.344,0.333
V24,25.37,-1.313,0.5
V25,-1.429,-2.062,0.0
V26,4.612,-1.94,0.0
V27,3.898,-2.1,0.0
V28,3.253,-2.045,0.001
V29,3.05,-1.582,0.0
V30,17.316,-2.131,0.0
V31,1.826,-1.002,0.191
V32,5.897,-1.799,0.0
V33,1.281,-1.777,0.0
V34,24.261,-1.366,0.333
V35,16.599,-2.074,0.0
V36,-0.64,-1.683,0.005
V37,2.27,-1.869,0.0
V38,4.612,-1.938,0.0
V39,5.866,-1.799,0.0
V40,16.601,-2.074,0.0
V41,4.614,-1.939,0.0
V42,1.752,-2.393,0.0
V43,2.25,-1.927,0.044
V44,2.579,-2.167,0.0
V45,-1.792,-2.152,0.0
V46,17.339,-2.13,0.0
V47,-1.126,-2.721,0.0
V48,3.905,-2.095,0.0
V49,2.514,-1.969,0.009
V50,11.633,0.756,0.689
V51,17.807,-2.072,0.0
V52,2.612,-2.158,0.0
V53,12.819,-0.852,0.526
V54,12.595,-0.855,0.526
V55,-1.673,-2.45,0.0
V56,19.954,-2.03,0.0
V57,19.668,-2.029,0.0
V58,19.408,-2.029,0.0
V59,-1.787,-2.156,0.0
V60,17.916,-2.072,0.0
V61,-1.442,-2.132,0.0
V62,-2.547,-1.8,0.0
V63,17.45,-2.128,0.0
V64,23.445,-1.989,0.0
V65,1.62,-1.987,0.012
V66,17.877,-0.809,0.474
V67,18.307,-2.071,0.0
V68,17.386,-2.13,0.0
V69,-0.913,-0.844,0.0
V70,0.209,-1.614,0.001
V71,54.546,-1.351,0.505
V72,18.692,-0.767,0.42
V73,22.265,-1.986,0.0
V74,18.905,-0.812,0.369
V75,0.882,-1.144,0.0
V76,36.539,-1.06,0.579
V77,24.179,-1.367,0.333
V78,13.303,-0.875,0.316
V79,2.179,-2.294,0.002
V80,2.526,-2.069,0.0
V81,3.905,-2.095,0.0
