,Discriminacao,Dificuldade,Adivinhacao
V1,3.332,-1.119,0.0
V2,18.307,-1.398,0.0
V3,25.333,-1.332,0.0
V4,15.517,-1.404,0.0
V5,-2.324,-1.57,0.0
V6,18.306,-1.398,0.0
V7,-2.324,-1.57,0.0
V8,25.333,-1.332,0.0
V9,15.515,-1.404,0.0
V10,25.332,-1.332,0.0
V11,34.415,-1.011,0.0
V12,92.483,-0.009,0.5
V13,15.511,-1.404,0.0
V14,25.332,-1.332,0.0
V15,-1.62,-0.949,0.0
V16,18.485,-1.322,0.0
V17,18.305,-1.398,0.0
V18,55.627,-0.29,0.167
V19,34.433,-1.011,0.0
V20,2.74,-1.434,0.0
V21,-0.683,-0.624,0.0
V22,25.331,-1.332,0.0
V23,66.404,-0.031,0.333
V24,-2.118,-1.484,0.0
V25,16.262,-1.317,0.0
V26,2.74,-1.434,0.0
V27,11.392,-1.42,0.0
V28,15.506,-1.404,0.0
V29,15.505,-1.404,0.0
V30,25.331,-1.332,0.0
V31,16.262,-1.317,0.0
V32,15.503,-1.404,0.0
V33,57.262,-0.286,0.167
V34,16.262,-1.317,0.0
V35,15.501,-1.404,0.0
V36,15.5,-1.404,0.0
V37,18.305,-1.398,0.0
V38,11.392,-1.42,0.0
V39,11.392,-1.42,0.0
V40,16.262,-1.317,0.0
V41,11.392,-1.42,0.0
V42,2.366,-1.791,0.0
V43,18.491,-1.322,0.0
V44,16.262,-1.317,0.0
V45,25.331,-1.332,0.0
V46,16.262,-1.317,0.0
V47,11.392,-1.42,0.0
V48,25.33,-1.332,0.0
V49,15.496,-1.404,0.0
V50,18.304,-1.398,0.0
V51,23.369,-1.696,0.0
V52,11.392,-1.42,0.0
V53,4.763,-0.758,0.0
V54,23.37,-1.697,0.0
V55,23.37,-1.697,0.0
V56,33.665,1.718,0.826
V57,15.49,-1.405,0.0
V58,15.488,-1.405,0.0
V59,2.327,-1.569,0.0
V60,34.51,-1.011,0.0
V61,15.485,-1.405,0.0
V62,23.373,-1.701,0.0
V63,16.262,-1.317,0.0
V64,18.303,-1.398,0.0
V65,18.502,-1.322,0.0
V66,23.374,-1.703,0.0
V67,2.74,-1.434,0.0
V68,16.262,-1.317,0.0
V69,-2.027,-1.718,0.0
V70,16.262,-1.317,0.0
V71,2.974,-1.029,0.0
V72,11.392,-1.42,0.0
V73,34.539,-1.011,0.0
V74,15.477,-1.405,0.0
V75,34.551,-1.011,0.0
V76,18.509,-1.322,0.0
V77,23.38,-1.707,0.0
V78,23.381,-1.708,0.0
V79,15.469,-1.405,0.0
V80,23.385,-1.709,0.0
V81,16.262,-1.317,0.0
V82,11.392,-1.42,0.0
V83,16.262,-1.317,0.0
V84,15.466,-1.405,0.0
V85,-1.809,-1.289,0.0
V86,23.389,-1.711,0.0
V87,23.391,-1.712,0.0
V88,18.302,-1.398,0.0
V89,25.33,-1.332,0.0
V90,16.262,-1.317,0.0
V91,34.605,-1.011,0.0
V92,11.392,-1.42,0.0
V93,-2.005,-1.967,0.0
V94,2.327,-1.569,0.0
V95,34.611,-1.011,0.0
V96,3.421,-1.314,0.0
V97,18.525,-1.322,0.0
V98,11.392,-1.42,0.0
V99,23.403,-1.715,0.0
V100,2.974,-1.029,0.0
V101,23.407,-1.716,0.0
V102,16.262,-1.317,0.0
V103,11.392,-1.42,0.0
V104,3.332,-1.119,0.0
V105,18.531,-1.322,0.0
V106,23.415,-1.717,0.0
V107,11.392,-1.42,0.0
V108,23.419,-1.718,0.0
V109,34.653,-1.011,0.0
V110,25.329,-1.332,0.0
V111,15.449,-1.405,0.0
V112,18.541,-1.322,0.0
V113,94.307,-0.013,0.333
V114,34.671,-1.011,0.0
V115,11.392,-1.42,0.0
V116,-2.02,-1.389,0.0
V117,11.392,-1.42,0.0
V118,2.228,-0.576,0.0
V119,18.302,-1.398,0.0
V120,18.545,-1.322,0.0
V121,17.836,1.701,0.455
V122,1.55,-0.882,0.0
V123,3.332,-1.119,0.0
V124,23.453,-1.722,0.0
V125,34.689,-1.011,0.0
V126,15.441,-1.405,0.0
V127,15.439,-1.405,0.0
V128,23.483,-1.724,0.0
V129,23.492,-1.724,0.0
V130,23.501,-1.725,0.0
V131,18.563,-1.322,0.0
V132,18.566,-1.322,0.0
V133,16.262,-1.317,0.0
V134,34.737,-1.011,0.0
V135,-2.005,-1.967,0.0
V136,23.543,-1.726,0.0
V137,-2.394,-0.431,0.0
V138,25.329,-1.332,0.0
V139,23.555,-1.726,0.0
V140,18.301,-1.398,0.0
V141,18.3,-1.398,0.0
V142,23.567,-1.727,0.0
V143,2.785,-1.232,0.0
V144,23.58,-1.727,0.0
V145,15.425,-1.405,0.0
V146,54.053,0.449,0.626
V147,23.607,-1.727,0.0
V148,16.262,-1.317,0.0
V149,18.299,-1.398,0.0
V150,11.392,-1.42,0.0
V151,2.74,-1.434,0.0
V152,18.299,-1.398,0.0
V153,18.587,-1.322,0.0
V154,18.298,-1.398,0.0
V155,16.262,-1.317,0.0
V156,15.421,-1.405,0.0
V157,16.262,-1.317,0.0
V158,25.329,-1.332,0.0
V159,-2.02,-1.389,0.0
V160,2.409,-1.352,0.0
V161,18.592,-1.322,0.0
V162,16.262,-1.317,0.0
V163,42.857,0.644,0.642
V164,18.595,-1.322,0.0
V165,15.417,-1.405,0.0
V166,23.704,-1.727,0.0
V167,57.365,-0.286,0.167
V168,11.392,-1.42,0.0
V169,16.262,-1.317,0.0
V170,2.974,-1.029,0.0
V171,23.723,-1.727,0.0
V172,18.297,-1.398,0.0
V173,-2.005,-1.967,0.0
V174,60.797,-0.348,0.0
V175,15.412,-1.405,0.0
V176,34.834,-1.011,0.0
V177,23.803,-1.726,0.0
V178,2.968,-1.031,0.0
V179,16.262,-1.317,0.0
V180,23.825,-1.726,0.0
V181,25.328,-1.332,0.0
V182,16.262,-1.317,0.0
V183,18.296,-1.398,0.0
V184,25.328,-1.332,0.0
V185,11.392,-1.42,0.0
V186,18.622,-1.323,0.0
V187,-2.02,-1.389,0.0
V188,11.392,-1.42,0.0
V189,23.871,-1.725,0.0
V190,25.328,-1.332,0.0
V191,2.957,-1.634,0.0
V192,34.865,-1.011,0.0
V193,25.327,-1.332,0.0
V194,25.327,-1.332,0.0
V195,25.327,-1.332,0.0
V196,25.326,-1.332,0.0
V197,34.871,-1.011,0.0
V198,18.634,-1.323,0.0
V199,23.971,-1.723,0.0
V200,16.262,-1.317,0.0
V201,23.997,-1.723,0.0
V202,24.025,-1.722,0.0
V203,55.753,-0.29,0.167
V204,24.053,-1.722,0.0
V205,34.908,-1.011,0.0
V206,-1.288,-1.504,0.0
V207,18.296,-1.398,0.0
V208,100.636,-0.015,0.167
V209,18.295,-1.398,0.0
V210,34.914,-1.011,0.0
V211,2.214,-1.163,0.0
V212,18.658,-1.323,0.0
V213,16.262,-1.317,0.0
V214,24.172,-1.719,0.0
V215,3.421,-1.314,0.0
V216,16.262,-1.317,0.0
V217,-2.781,-1.232,0.0
V218,16.262,-1.317,0.0
V219,11.391,-1.42,0.0
V220,15.39,-1.405,0.0
V221,11.391,-1.42,0.0
V222,115.9,1.029,0.245
V223,-1.693,-1.777,0.0
V224,18.294,-1.398,0.0
V225,11.391,-1.42,0.0
V226,11.391,-1.42,0.0
V227,18.668,-1.323,0.0
V228,11.391,-1.42,0.0
V229,-1.53,-2.382,0.0
V230,4.16,-0.5,0.0
V231,11.391,-1.42,0.0
V232,59.325,-0.039,0.167
V233,16.262,-1.317,0.0
V234,-21.876,-4.265,0.403
V235,18.672,-1.323,0.0
V236,24.302,-1.715,0.0
V237,25.326,-1.332,0.0
V238,3.421,-1.314,0.0
V239,15.385,-1.405,0.0
V240,28.32,-0.032,0.333
V241,24.371,-1.713,0.0
V242,34.969,-1.011,0.0
V243,34.975,-1.011,0.0
V244,24.478,-1.71,0.0
V245,15.379,-1.405,0.0
V246,1.983,-1.285,0.0
V247,1.857,-0.858,0.0
V248,24.553,-1.708,0.0
V249,15.377,-1.405,0.0
V250,-0.969,-0.557,0.0
V251,24.631,-1.705,0.0
V252,2.409,-1.352,0.0
V253,25.325,-1.332,0.0
V254,16.262,-1.317,0.0
V255,90.56,-0.009,0.5
V256,18.713,-1.323,0.0
V257,57.953,-0.285,0.167
V258,57.467,-0.286,0.167
V259,24.71,-1.703,0.0
V260,35.024,-1.012,0.0
V261,35.03,-1.012,0.0
V262,18.728,-1.323,0.0
V263,18.732,-1.323,0.0
V264,16.262,-1.317,0.0
V265,24.917,-1.696,0.0
V266,25.325,-1.332,0.0
V267,25.325,-1.332,0.0
V268,18.74,-1.323,0.0
V269,35.061,-1.012,0.0
V270,16.262,-1.317,0.0
V271,15.365,-1.405,0.0
V272,16.262,-1.317,0.0
V273,25.09,-1.691,0.0
V274,15.363,-1.405,0.0
V275,25.324,-1.332,0.0
V276,35.086,-1.012,0.0
V277,11.391,-1.42,0.0
V278,98.647,0.552,0.626
V279,25.223,-1.687,0.0
V280,2.74,-1.434,0.0
V281,18.294,-1.398,0.0
V282,25.324,-1.332,0.0
V283,18.77,-1.323,0.0
V284,35.104,-1.012,0.0
V285,18.293,-1.398,0.0
V286,11.391,-1.42,0.0
V287,11.391,-1.42,0.0
V288,35.111,-1.012,0.0
V289,16.262,-1.317,0.0
V290,25.405,-1.681,0.0
V291,57.569,-0.286,0.167
V292,42.678,-0.043,0.167
V293,28.498,-0.08,0.167
V294,16.262,-1.317,0.0
V295,25.324,-1.332,0.0
V296,25.506,4.004,0.453
V297,18.787,-1.323,0.0
V298,18.292,-1.398,0.0
V299,15.355,-1.405,0.0
V300,16.262,-1.317,0.0
V301,25.543,-1.677,0.0
V302,16.262,-1.317,0.0
V303,18.291,-1.398,0.0
V304,35.142,-1.012,0.0
V305,3.332,-1.119,0.0
V306,25.324,-1.332,0.0
V307,3.332,-1.119,0.0
V308,15.353,-1.405,0.0
V309,55.879,-0.29,0.167
V310,25.682,-1.673,0.0
V311,18.813,-1.323,0.0
V312,11.391,-1.42,0.0
V313,11.391,-1.42,0.0
V314,25.323,-1.332,0.0
V315,18.291,-1.398,0.0
V316,25.775,-1.67,0.0
V317,2.74,-1.434,0.0
V318,25.822,-1.669,0.0
V319,15.349,-1.405,0.0
V320,16.262,-1.317,0.0
V321,18.832,-1.323,0.0
V322,35.191,-1.012,0.0
V323,16.262,-1.317,0.0
V324,18.29,-1.398,0.0
V325,18.841,-1.323,0.0
V326,18.845,-1.323,0.0
V327,15.346,-1.405,0.0
V328,15.345,-1.405,0.0
V329,15.344,-1.405,0.0
V330,11.391,-1.42,0.0
V331,18.289,-1.398,0.0
V332,3.421,-1.314,0.0
V333,11.391,-1.42,0.0
