Metodo,Acuracia
GaussianNB,0.8917582417582418
BernoulliNB,0.9304528804528804
KNeighborsClassifier(2),0.9291541791541791
KNeighborsClassifier(3),0.9110722610722611
KNeighborsClassifier(5),0.9291541791541791
KNeighborsClassifier(8),0.9278887778887779
DecisionTreeClassifier(),0.9007825507825509
RandomForestClassifier(3_estimators),0.9058774558774558
RandomForestClassifier(5_estimators),0.9304695304695304
RandomForestClassifier,0.9355311355311354
SVM,0.9304528804528804
MLPClassifier,0.9073759573759572
rand1,0.5285285285285285
rand2,0.5525525525525525
rand3,0.5045045045045045
majoritario,0.9309309309309309
minoritario,0.06906906906906907
pessimo,0.0
otimo,1.0
