Metodo,Acuracia
GaussianNB,0.8678678678678678
BernoulliNB,0.9309309309309309
KNeighborsClassifier(2),0.9279279279279279
KNeighborsClassifier(3),0.9159159159159159
KNeighborsClassifier(5),0.933933933933934
KNeighborsClassifier(8),0.9309309309309309
DecisionTreeClassifier(),0.924924924924925
RandomForestClassifier(3_estimators),0.9159159159159159
RandomForestClassifier(5_estimators),0.93993993993994
RandomForestClassifier,0.9369369369369369
SVM,0.9309309309309309
MLPClassifier,0.9309309309309309
rand1,0.5285285285285285
rand2,0.5525525525525525
rand3,0.5045045045045045
majoritario,0.9309309309309309
minoritario,0.06906906906906907
pessimo,0.0
otimo,1.0
