Metodo,Acuracia
GaussianNB,0.7619047619047619
BernoulliNB,0.5396825396825397
KNeighborsClassifier(2),0.873015873015873
KNeighborsClassifier(3),0.873015873015873
KNeighborsClassifier(5),0.7777777777777778
KNeighborsClassifier(8),0.6984126984126984
DecisionTreeClassifier(),0.8095238095238095
RandomForestClassifier(3_estimators),0.6666666666666666
RandomForestClassifier(5_estimators),0.7619047619047619
RandomForestClassifier,0.8571428571428571
SVM,0.7777777777777778
MLPClassifier,0.7777777777777778
rand1,0.5079365079365079
rand2,0.5555555555555556
rand3,0.5238095238095238
majoritario,0.5396825396825397
minoritario,0.4603174603174603
pessimo,0.0
otimo,1.0
