,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,Discrimination,Difficulty,Guessing
checking_status,1.0,-0.06886566121656462,0.22928242365964757,-0.02093823237777574,-0.06886881508928647,0.17428876199472393,0.09038660734544281,0.037944655803652964,0.09947974858346213,-0.11682946537476958,-0.09571155456625374,-0.03077067937637966,0.11938825474511809,-0.0026048391049409573,0.0898858482120279,0.0846718890473065,0.060443045127968144,-0.010302700485661401,0.039078680385954856,-0.04963001059077824,0.1879205918339371,-0.18764957276151545,-0.33068135494299683
duration,-0.06886566121656462,1.0,-0.19009344932738517,0.11719281593051062,0.576750439762761,0.010688410313566312,0.11455620772963357,0.018347296496079277,-0.0025118398902379603,-0.06338038340575416,0.05794272482638393,0.30201937517436256,-0.04666091489433843,0.0005055219213826266,0.1520857935851922,-0.12227905892346314,0.2515494683415275,-0.028045217400419098,0.06243693244622447,-0.1097696687598602,0.1065170092447221,0.13124787362858742,0.3977046541071879
credit_history,0.22928242365964757,-0.19009344932738517,1.0,-0.1464290100480069,-0.1421272530125724,0.019497038810596338,0.09978076864111352,-0.021540335785237903,0.04542523498638177,0.010035559836204805,0.08539156517819248,-0.015541884866996,0.2340003721364523,-0.017776011221730066,0.08317800691864642,0.47085412203106985,-0.019007656826020014,-0.015474611514754369,0.05491008290947152,-0.015681373901632382,0.0007824596461269582,-0.20141004238134297,-0.2775898109208839
purpose,-0.02093823237777574,0.11719281593051062,-0.1464290100480069,1.0,0.013502125603346075,-0.05833029386127858,0.0028409011679804263,0.07375049623857932,0.036978325396274984,0.07302537111830838,-0.03548732713297433,-0.013870789750401395,-0.0499441040628096,-0.12184695119005928,-0.008250882035232067,0.08450129954727437,0.0848722672053716,-0.012542545012478373,0.06545399158573688,-0.07584311175069111,-0.051711362761448214,0.1614653778006404,0.10700110024612641
credit_amount,-0.06886881508928647,0.576750439762761,-0.1421272530125724,0.013502125603346075,1.0,0.0702295225286422,0.08171803800648549,-0.3365757507990606,-0.004585102356368964,-0.02974773048373535,0.03297678900229534,0.305966016259149,0.0447315498850783,-0.06016635180642847,0.11678788513400182,-0.06708484510492285,0.2901099779375001,-0.034695205954610626,0.25709132089857617,0.03215644080777224,-0.019674824309667736,0.08859863630042787,0.2418650658631953
savings_status,0.17428876199472393,0.010688410313566312,0.019497038810596338,-0.05833029386127858,0.0702295225286422,1.0,0.12843845647728336,-0.005375242080318221,0.13494054106789974,-0.12558875819872387,0.0766531512458534,0.017761354752891482,0.1079063209698716,-0.01985359102041798,0.02947505643644354,-0.05163886043219555,-0.021909535995550504,0.022610259283207416,0.11336501384398652,-0.07336733676693072,-0.006502203569120995,-0.11604721107440036,-0.22427072453564373
employment,0.09038660734544281,0.11455620772963357,0.09978076864111352,0.0028409011679804263,0.08171803800648549,0.12843845647728336,1.0,0.033823879308717796,0.0880232790796248,-0.038681632118188314,0.24014528343052036,0.10028369432853552,0.25947542494274994,0.006954899531835728,0.11229189157540219,0.054399772307079985,0.11623173049759053,0.11270220074889647,0.04333347194841286,0.017244832058286957,-0.005921646519998815,0.011511495261366097,-0.12929315450998394
installment_commitment,0.037944655803652964,0.018347296496079277,-0.021540335785237903,0.07375049623857932,-0.3365757507990606,-0.005375242080318221,0.033823879308717796,1.0,0.12060444912741658,0.0571240340674297,-0.03910068729888867,-0.010376428744317795,-0.0031017417644451056,-0.005492603296289437,0.11332901544493865,-0.027425577669109864,0.18052705364925822,-0.011501136202869983,0.009525866314053725,-0.09705988366019819,0.06083585531199904,0.011091426000482163,0.09160734752995084
personal_status,0.09947974858346213,-0.0025118398902379603,0.04542523498638177,0.036978325396274984,-0.004585102356368964,0.13494054106789974,0.0880232790796248,0.12060444912741658,1.0,0.006463190433140429,-0.08136192529904901,-0.02042620586074794,0.08971037090502437,-0.12473959508654185,0.10230869212233852,0.12216387293316376,-0.01629323756169187,0.20181346086369412,0.0033076882756423497,2.128609477219019e-18,0.008862617442047522,0.0038604765046564527,-0.11399346546614603
other_parties,-0.11682946537476958,-0.06338038340575416,0.010035559836204805,0.07302537111830838,-0.02974773048373535,-0.12558875819872387,-0.038681632118188314,0.0571240340674297,0.006463190433140429,1.0,-0.0027144582394332405,-0.1754492814016113,-0.024371048749027065,-0.1546089085314897,-0.14030143860554328,0.015064796598237288,-0.03945571209731996,0.0020015979129563216,-0.026478420978005367,0.06187622527246021,-0.07341559711328574,0.05575232200410203,-0.03986595331534278
residence_since,-0.09571155456625374,0.05794272482638393,0.08539156517819248,-0.03548732713297433,0.03297678900229534,0.0766531512458534,0.24014528343052036,-0.03910068729888867,-0.08136192529904901,-0.0027144582394332405,1.0,0.17066940118249704,0.29024078698101063,0.010375355628178146,-0.07318826588287215,0.07689319261164401,-0.008548340504036979,0.03588341508512013,0.04682676411854628,-0.05476300340738768,0.07106236023511169,-0.06042888701778885,0.046400236463228925
property_magnitude,-0.03077067937637966,0.30201937517436256,-0.015541884866996,-0.013870789750401395,0.305966016259149,0.017761354752891482,0.10028369432853552,-0.010376428744317795,-0.02042620586074794,-0.1754492814016113,0.17066940118249704,1.0,0.1381496147741355,-0.03345877562700119,0.35299402123568036,0.024128469422724622,0.2720010853967995,0.006812433487860286,0.18458104647134194,-0.15364205681302454,0.06196774878684099,0.02764671520199576,0.2111092573065287
age,0.11938825474511809,-0.04666091489433843,0.2340003721364523,-0.0499441040628096,0.0447315498850783,0.1079063209698716,0.25947542494274994,-0.0031017417644451056,0.08971037090502437,-0.024371048749027065,0.29024078698101063,0.1381496147741355,1.0,-0.09800870174703417,0.3134628582024922,0.2214748718758118,-0.053054789307352496,0.18464178648959007,0.13373311775252839,0.07222256391928544,0.034953379929432614,-0.010734746269062232,-0.12766392833402745
other_payment_plans,-0.0026048391049409573,0.0005055219213826266,-0.017776011221730066,-0.12184695119005928,-0.06016635180642847,-0.01985359102041798,0.006954899531835728,-0.005492603296289437,-0.12473959508654185,-0.1546089085314897,0.010375355628178146,-0.03345877562700119,-0.09800870174703417,1.0,-0.11497322498227282,-0.10778102906672715,0.01944223807416644,-0.06760398020132709,-0.010874103917221475,0.018989476576084924,0.14390634295891236,-0.1456727337955366,-0.0029687670006171567
housing,0.0898858482120279,0.1520857935851922,0.08317800691864642,-0.008250882035232067,0.11678788513400182,0.02947505643644354,0.11229189157540219,0.11332901544493865,0.10230869212233852,-0.14030143860554328,-0.07318826588287215,0.35299402123568036,0.3134628582024922,-0.11497322498227282,1.0,0.08499007936715353,0.07646309010587116,0.11136056053920954,0.04128802969932224,-0.011233240074001505,0.056794026648160155,0.003238590032629931,0.02245538940228462
existing_credits,0.0846718890473065,-0.12227905892346314,0.47085412203106985,0.08450129954727437,-0.06708484510492285,-0.05163886043219555,0.054399772307079985,-0.027425577669109864,0.12216387293316376,0.015064796598237288,0.07689319261164401,0.024128469422724622,0.2214748718758118,-0.10778102906672715,0.08499007936715353,1.0,-0.0925496426619601,0.14589917533813976,0.028117950497564683,0.039125930456501375,-0.02029221217650059,-0.08837795842563989,-0.10315919052022515
job,0.060443045127968144,0.2515494683415275,-0.019007656826020014,0.0848722672053716,0.2901099779375001,-0.021909535995550504,0.11623173049759053,0.18052705364925822,-0.01629323756169187,-0.03945571209731996,-0.008548340504036979,0.2720010853967995,-0.053054789307352496,0.01944223807416644,0.07646309010587116,-0.0925496426619601,1.0,-0.10073747326499129,0.3947829567777543,-0.08605130405680975,-0.017408423864766685,0.021342898937025748,0.053288017033505525
num_dependents,-0.010302700485661401,-0.028045217400419098,-0.015474611514754369,-0.012542545012478373,-0.034695205954610626,0.022610259283207416,0.11270220074889647,-0.011501136202869983,0.20181346086369412,0.0020015979129563216,0.03588341508512013,0.006812433487860286,0.18464178648959007,-0.06760398020132709,0.11136056053920954,0.14589917533813976,-0.10073747326499129,1.0,-0.014341101078197277,0.09279326721528548,0.0027550970421844757,-0.04594684141654273,-0.003514806805826243
own_telephone,0.039078680385954856,0.06243693244622447,0.05491008290947152,0.06545399158573688,0.25709132089857617,0.11336501384398652,0.04333347194841286,0.009525866314053725,0.0033076882756423497,-0.026478420978005367,0.04682676411854628,0.18458104647134194,0.13373311775252839,-0.010874103917221475,0.04128802969932224,0.028117950497564683,0.3947829567777543,-0.014341101078197277,1.0,-0.06492648763938665,-0.0040261974125316196,0.08823131919224392,-0.022413293028308932
foreign_worker,-0.04963001059077824,-0.1097696687598602,-0.015681373901632382,-0.07584311175069111,0.03215644080777224,-0.07336733676693072,0.017244832058286957,-0.09705988366019819,2.128609477219019e-18,0.06187622527246021,-0.05476300340738768,-0.15364205681302454,0.07222256391928544,0.018989476576084924,-0.011233240074001505,0.039125930456501375,-0.08605130405680975,0.09279326721528548,-0.06492648763938665,1.0,0.03654019549979274,-0.023325283872651516,-0.046679600372952004
Discriminacao,0.1879205918339371,0.1065170092447221,0.0007824596461269582,-0.051711362761448214,-0.019674824309667736,-0.006502203569120995,-0.005921646519998815,0.06083585531199904,0.008862617442047522,-0.07341559711328574,0.07106236023511169,0.06196774878684099,0.034953379929432614,0.14390634295891236,0.056794026648160155,-0.02029221217650059,-0.017408423864766685,0.0027550970421844757,-0.0040261974125316196,0.03654019549979274,1.0,0.06637837804223067,0.49165171122982976
